Date,output
2015-05-18,0.004506846940544262
2015-05-19,-0.014183185235816964
2015-05-20,0.008096468561584969
2015-05-21,0.027615507169410636
2015-05-22,0.017287952458130862
2015-05-25,0.0018040772145047068
2015-05-26,-0.012822796081923493
2015-05-27,0.011347262247838552
2015-05-28,-0.0019773503505301493
2015-05-29,-0.0001797268152409215
2015-06-01,0.04488262910798113
2015-06-02,0.03438228438228452
2015-06-03,-0.0007763975155281599
2015-06-04,-0.0007757951900697613
2015-06-05,0.01117866248283983
2015-06-08,-0.010287267080745455
2015-06-09,-0.011511895625479607
2015-06-10,0.02598425196850407
2015-06-11,0.00019688915140769758
2015-06-12,0.014785214785214773
2015-06-15,-0.017085624509033726
2015-06-16,-0.001960015680125493
2015-06-17,-0.011623401782255072
2015-06-18,-0.007880069190851269
